service_id,date,exception_type
9939,20200413,2
8655,20200418,1
8655,20200516,1
12563,20200425,1
12563,20200508,1
12563,20200509,1
12566,20200425,1
12566,20200508,1
12566,20200509,1
12567,20200414,2
12567,20200430,2
12567,20200507,2
12568,20200413,1
12568,20200510,1
12568,20200419,2
9145,20200309,1
9145,20200310,1
9145,20200311,1
9145,20200312,1
9145,20200406,1
9145,20200407,1
9145,20200408,1
9145,20200409,1
9145,20200504,1
9145,20200505,1
9145,20200506,1
12569,20200418,1
12569,20200516,1
12570,20200418,1
12570,20200516,1
2892,20200420,1
2892,20200421,1
2892,20200422,1
2892,20200423,1
2892,20200424,1
2892,20200414,1
2892,20200415,1
2892,20200416,1
2892,20200417,1
2892,20200518,1
2892,20200519,1
2892,20200520,1
2890,20200515,1
2890,20200430,2
12571,20200425,1
12571,20200508,1
12571,20200509,1
9147,20200507,1
9147,20200511,1
9147,20200512,1
9147,20200513,1
9147,20200514,1
9147,20200515,1
9147,20200518,1
9147,20200519,1
9147,20200520,1
9147,20200413,2
9147,20200501,2
9147,20200508,2
9147,20200309,2
9147,20200310,2
9147,20200311,2
9147,20200312,2
9147,20200406,2
9147,20200407,2
9147,20200408,2
9147,20200409,2
4324,20200412,2
4324,20200419,2
4324,20200426,2
4324,20200503,2
4324,20200510,2
12572,20200414,1
12572,20200415,1
12572,20200416,1
12572,20200417,1
12572,20200418,1
12572,20200406,1
12572,20200407,1
12572,20200408,1
12572,20200409,1
12572,20200410,1
12572,20200420,1
12572,20200421,1
12572,20200422,1
12572,20200423,1
12572,20200424,1
12572,20200511,1
12572,20200512,1
12572,20200513,1
12572,20200514,1
12572,20200515,1
12572,20200518,1
12572,20200519,1
12572,20200520,1
12572,20200427,1
12572,20200428,1
12572,20200429,1
12572,20200430,1
12572,20200504,1
12572,20200505,1
12572,20200506,1
12572,20200507,1
12572,20200413,2
12577,20200413,2
12577,20200501,2
12577,20200508,2
12579,20200411,2
12581,20200418,1
12581,20200516,1
12581,20200220,1
12581,20200221,1
12581,20200222,1
12581,20200223,1
12581,20200224,1
12581,20200225,1
12581,20200226,1
12581,20200227,1
12581,20200228,1
12581,20200229,1
12581,20200301,1
12581,20200302,1
12581,20200303,1
12581,20200304,1
12581,20200305,1
12581,20200306,1
12581,20200307,1
12581,20200308,1
12584,20200425,1
12584,20200508,1
12584,20200509,1
12585,20200413,1
12586,20200415,1
12586,20200416,1
12586,20200417,1
12586,20200421,1
12586,20200422,1
12586,20200423,1
12586,20200424,1
12586,20200512,1
12586,20200513,1
12586,20200514,1
12586,20200515,1
12586,20200519,1
12586,20200520,1
12586,20200428,1
12586,20200429,1
12586,20200430,1
12586,20200505,1
12586,20200506,1
12586,20200507,1
12586,20200414,2
12591,20200414,1
